time;mem;threads
12329;232088;1
11683;232036;1
11724;250008;1
12393;232008;1
12482;227752;1
8565;257340;2
7810;271696;2
9253;289936;2
9341;267888;2
8730;282116;2
7472;361868;4
7221;352592;4
7249;375496;4
7294;381764;4
7075;360004;4
6914;459076;8
6602;427664;8
6449;478712;8
6468;480664;8
6503;469396;8
