time;mem;threads
65032;242536;1
66613;241048;1
65564;241168;1
65976;242396;1
64627;242360;1
41049;274764;2
40805;272280;2
40095;260668;2
40462;260668;2
39898;296012;2
31040;401916;4
31571;380244;4
31319;398124;4
31016;375948;4
29965;382568;4
23734;457660;8
24584;492356;8
26631;490188;8
25974;466752;8
25619;486568;8
