time;mem;threads
22661;246124;1
22619;245904;1
21148;245896;1
21005;244732;1
21929;246364;1
14641;275788;2
13622;290980;2
14044;289836;2
13505;283748;2
12857;277652;2
12184;390304;4
12054;376612;4
11787;377592;4
11743;365448;4
12070;405768;4
11744;458300;8
11914;528820;8
11991;510508;8
12139;509220;8
11831;521292;8
