time;mem;threads
17060;89852;1
17482;89788;1
17361;89692;1
17065;89580;1
17367;89784;1
14517;95472;2
14754;99844;2
14739;96876;2
15438;99104;2
15072;96572;2
15465;103372;4
14635;116480;4
15161;102568;4
14809;110412;4
14540;111128;4
12108;158760;8
11950;160876;8
11440;153992;8
12177;152304;8
12939;156688;8
