threads;mem
1;574944
1;574996
1;575024
1;574940
1;574816
1;574912
1;574896
1;574896
1;574920
1;574804
2;611900
2;625268
2;581608
2;607028
2;586792
2;622412
2;623760
2;611864
2;601656
2;621384
4;926568
4;725428
4;710048
4;927280
4;928440
4;727604
4;929912
4;712060
4;723576
4;717452
8;1109724
8;1088492
8;1124552
8;1119876
8;1114600
8;1137624
8;1095340
8;1128320
8;1100996
8;1113940
