time;mem;threads
158017;589552;1
152008;574872;1
151999;575144;1
87623;609676;2
88411;577544;2
88538;583620;2
56777;729448;4
57103;715380;4
56520;727092;4
47641;1088656;8
48156;1113020;8
48381;1097484;8
