threads;time
1;150255
1;153180
1;150015
1;151208
1;150332
1;152561
1;153096
1;152959
1;151512
1;150058
2;87151
2;87233
2;87332
2;86780
2;87240
2;87281
2;87176
2;87262
2;86913
2;86801
4;55054
4;55365
4;55397
4;53263
4;52097
4;53652
4;53915
4;53321
4;55518
4;53344
8;46818
8;47548
8;46813
8;47280
8;47242
8;46826
8;47415
8;46597
8;47260
8;47375
