threads;mem
1;91632
1;91540
1;91420
1;91712
1;91596
1;91528
1;91632
1;91644
1;91528
1;91508
2;98120
2;98960
2;101352
2;99500
2;100156
2;97960
2;101724
2;102236
2;101756
2;100488
4;112364
4;117388
4;113908
4;120512
4;113632
4;116408
4;118096
4;117848
4;116944
4;119732
8;167944
8;169392
8;167568
8;167084
8;166132
8;168264
8;168696
8;168156
8;161544
8;166324
