testcase;time;mutants;score;samples
shoco;69;95;77.89474;20
shoco;72;100;77.0;20
shoco;72;99;76.76768;20
shoco;70;117;67.52137;20
shoco;72;116;73.27586;20
shoco;69;114;75.4386;20
shoco;68;99;73.73737;20
shoco;69;95;70.52631;20
shoco;75;96;81.25;20
shoco;72;102;66.666664;20
shoco;90;142;69.014084;30
shoco;80;176;74.431816;30
shoco;78;158;72.78481;30
shoco;76;148;72.97298;30
shoco;75;131;76.33588;30
shoco;77;138;77.53623;30
shoco;79;144;78.47222;30
shoco;79;146;72.60274;30
shoco;81;152;69.07895;30
shoco;84;146;71.91781;30
shoco;73;136;75.0;30
shoco;91;148;73.64865;30
shoco;80;141;70.21277;30
shoco;87;145;76.55173;30
shoco;77;135;77.03704;30
shoco;89;181;73.48066;40
shoco;85;193;73.05699;40
shoco;88;201;69.15423;40
shoco;85;212;74.0566;40
shoco;99;206;76.21359;40
shoco;82;194;72.68041;40
shoco;85;207;71.49758;40
shoco;87;202;70.792076;40
shoco;101;223;69.50673;40
shoco;103;194;70.103096;40
shoco;84;199;67.839195;40
shoco;92;207;76.81159;40
shoco;89;207;73.91304;40
shoco;89;211;75.35545;40
shoco;85;194;78.35052;40
shoco;101;239;71.12971;50
shoco;126;241;77.59336;50
shoco;97;246;74.796745;50
shoco;100;246;71.95122;50
shoco;120;265;72.830185;50
shoco;145;248;72.98387;50
shoco;113;237;72.57384;50
shoco;111;244;71.31148;50
shoco;131;244;70.08197;50
shoco;131;261;72.030655;50
shoco;103;249;71.88755;50
shoco;106;237;71.308014;50
shoco;97;241;71.36929;50
shoco;99;235;73.19149;50
shoco;112;248;74.19355;50
binn;352;307;61.56352;10
binn;344;293;61.43345;10
binn;343;266;56.76692;10
binn;314;307;57.654724;10
binn;322;296;56.756756;10
binn;292;260;62.692307;10
binn;407;299;63.2107;10
binn;308;270;57.037037;10
binn;290;304;63.157894;10
binn;274;281;55.516014;10
binn;287;281;60.498222;10
binn;273;285;62.45614;10
binn;256;271;57.564575;10
binn;297;267;63.29588;10
binn;285;269;57.24907;10
binn;471;569;58.699474;20
binn;427;508;59.05512;20
binn;464;532;55.263157;20
binn;538;584;58.219177;20
binn;473;542;61.808117;20
binn;483;507;60.35503;20
binn;403;504;60.714287;20
binn;528;540;56.666668;20
binn;520;539;59.183674;20
binn;505;518;57.142857;20
binn;504;524;57.44275;20
binn;553;581;56.626507;20
binn;482;525;57.904762;20
binn;487;550;59.81818;20
binn;507;588;60.544216;20
binn;677;840;59.88095;30
binn;596;754;60.61008;30
binn;666;801;58.8015;30
binn;773;817;59.11873;30
binn;733;807;60.47088;30
binn;726;807;58.36431;30
binn;626;786;60.43257;30
binn;654;834;60.191845;30
binn;776;808;58.29208;30
binn;730;792;58.964645;30
binn;740;821;61.510353;30
binn;768;802;60.34913;30
binn;688;782;60.61381;30
binn;700;838;58.949883;30
binn;632;805;58.757763;30
binn;838;1037;58.34137;40
binn;901;1097;59.89061;40
binn;885;1044;59.291187;40
binn;910;1078;59.090908;40
binn;941;1061;57.775684;40
binn;947;1033;60.503387;40
binn;1033;1039;57.55534;40
binn;1190;1046;58.986614;40
binn;1037;1053;57.83476;40
binn;921;1067;57.075912;40
binn;957;1090;58.44037;40
binn;905;1020;60.784313;40
binn;891;1022;57.04501;40
binn;868;1038;59.055878;40
binn;866;1071;61.53128;40
binn;1131;1308;58.639145;50
binn;1217;1344;60.19345;50
binn;1217;1348;60.08902;50
binn;1171;1300;59.307693;50
binn;1247;1349;61.30467;50
binn;1162;1349;58.710155;50
binn;1280;1318;59.25645;50
binn;1204;1328;60.692772;50
binn;1246;1286;58.475895;50
binn;1205;1386;59.59596;50
binn;1245;1285;59.610893;50
binn;1218;1330;60.30075;50
binn;1207;1328;59.56325;50
binn;1280;1351;57.95707;50
binn;1377;1304;59.355827;50
librope;140;126;67.46032;10
librope;122;128;67.1875;10
librope;118;131;63.35878;10
librope;120;110;60.909092;10
librope;124;145;58.62069;10
librope;120;130;65.38461;10
librope;120;134;67.910446;10
librope;121;121;66.94215;10
librope;145;140;68.57143;10
librope;136;132;75.757576;10
librope;113;119;65.54622;10
librope;184;141;71.6312;10
librope;158;118;65.254234;10
librope;164;119;70.588234;10
librope;135;135;62.22222;10
librope;204;241;68.04979;20
librope;169;221;63.800903;20
librope;148;214;62.149532;20
librope;155;239;65.271965;20
librope;156;244;65.983604;20
librope;153;245;64.081635;20
librope;155;240;64.166664;20
librope;167;251;63.74502;20
librope;157;249;66.666664;20
librope;145;227;65.198235;20
librope;172;225;64.0;20
librope;160;240;61.25;20
librope;153;237;65.40084;20
librope;139;244;68.44262;20
librope;145;248;65.32258;20
librope;183;345;61.739132;30
librope;206;385;63.116882;30
librope;180;347;62.824207;30
librope;207;350;65.42857;30
librope;196;355;61.40845;30
librope;207;338;64.7929;30
librope;212;342;62.5731;30
librope;194;339;62.241886;30
librope;205;364;62.087914;30
librope;185;324;63.88889;30
librope;188;342;61.403507;30
librope;196;359;62.674095;30
librope;194;332;58.433735;30
librope;210;362;66.0221;30
librope;197;353;62.03966;30
librope;267;468;62.39316;40
librope;245;458;62.663757;40
librope;248;487;63.44969;40
librope;242;451;67.84922;40
librope;240;454;62.77533;40
librope;236;439;66.97039;40
